nome,renda,idade,etnia,sexo,casapropria,outrasrendas,estadocivil,escolaridade,default
"Aaron, Pierce",5018.570782952766,20.509901183657348,1,0,1,0,1,1,0
"Keisha, Ortega",4054.2860649281192,30.894306958910033,1,1,1,0,1,2,0
"Angelo, Mendez Nevarez",4258.414021221348,25.59444228054234,0,0,0,1,0,2,0
"Muneefa, al-Jabara",2959.5000777207165,30.852809098284155,1,1,0,0,0,2,1
"Zachary, Williams",3523.5840135705453,53.93718937434299,1,0,0,1,1,0,1
"Roderick, Tewolde",2875.5934486092888,22.746463235365344,1,0,0,0,1,1,1
"Michael, Ochoa",3703.9060678598516,42.5690605775827,1,0,0,1,0,3,1
"Kevin, Lopez",3543.2022029213113,46.258094014573324,0,0,0,0,1,1,0
"Baheej, al-Mannan",4059.738933403087,37.61273183176713,0,0,1,0,1,3,0
"Jaspar, Naranjo",4944.978771915121,38.271432782636,1,0,1,0,0,2,0
"Armando, Eaton",3631.821178781429,32.90938427920633,0,0,0,1,0,2,0
"Ashley, Martinez",3720.539036231338,53.12103609667651,1,1,1,0,0,1,1
"Owen, Leslie",3929.8784165286215,24.748684673769887,0,0,1,0,0,1,0
"Vanessa, Alvarez-Castillo",3478.2056111220927,47.79436816069755,1,1,1,1,0,2,0
"Clint, Miera",2982.932817751554,34.404772793334054,1,0,1,0,1,2,1
"Tammaam, al-Asmar",3063.9237164129763,43.34664158969345,1,0,0,0,1,2,1
"Matthew, Ornelas Contreras",3266.8785184057724,54.70749032966796,0,0,0,0,1,1,0
"Abdul Rauf, al-Satter",4237.204267029976,35.734784514443206,0,0,1,1,0,0,0
"Hibbaan, el-Zakaria",4329.4695435653,59.62924722106677,0,0,1,0,1,2,0
"Tiara, Bing-Turner",1966.0835317353092,18.401070130057633,1,1,0,0,1,1,1
"Jacob, Kordziel",4417.420490324964,33.479996434119194,0,0,1,0,1,0,0
"Zuhair, el-Massoud",3721.8214749543204,40.49013226250521,1,0,1,1,1,2,0
"Danae, Mackall",3308.3005452265006,31.828730015213775,0,1,1,0,1,2,0
"Pedro, Zoobi",4499.418284918442,34.66781256126377,0,0,1,1,0,2,0
"Adrian, Montes",3086.239537701151,35.96155941803578,1,0,0,0,0,1,1
"Jehanzeb, Clark",3564.1784699969994,32.0591736930563,1,0,0,1,1,2,1
"Dana, Chong",3557.555840476477,35.10489909766202,0,1,1,0,1,2,0
"Ulisses, Gamboa",4227.7003913347035,23.06034780210385,0,0,0,0,0,2,0
"Talon, Campbell",2764.5316920225914,24.914034512653846,1,0,0,0,0,2,1
"Abigail, Carrillo",2041.4549558424092,46.44178961708706,0,1,1,0,1,0,1
"Haseena, el-Kassem",3332.7472172793236,46.092378263964584,0,1,0,0,1,1,1
"Kevin, Moreno",2173.420867880496,37.5475179573543,1,0,0,0,0,0,1
"Dallen, Zahn",4349.635835618248,48.40906152791032,0,0,0,0,1,2,0
"Sandra, Morris",3130.453572217287,21.430549393583753,0,1,0,1,0,1,1
"Paulina, Murphy",3241.671111638966,31.80091935659704,0,1,1,1,1,2,0
"Haylie, Brown",1908.756416597029,58.60450559881808,1,1,0,0,0,2,1
"Morgan, Selig",2074.222227524721,20.073891575448215,0,1,1,0,1,3,1
"Ezra, Babiker",3759.8153643657,36.65412046408581,0,0,1,0,0,3,0
"Baheej, al-Awan",5085.916808314814,42.947323894742645,0,0,0,0,1,2,0
"Shaquell, Hughes",2188.4878632238892,44.93660047652518,1,1,1,0,1,2,1
"Marriah, Dettmann",5032.170334524597,36.86196867304375,0,1,1,0,1,3,0
"James, Aviles",5508.233275894979,36.69943166868678,0,0,1,0,0,2,0
"Pharo, Musick-Occhiuto",3456.3183397114717,56.969844089810714,1,0,0,0,0,2,1
"Mus'ab, al-Sharif",5170.90517701441,53.442758679403155,0,0,0,0,0,3,0
"Richard, Baros",2473.5111533634254,56.06936746202542,1,0,0,0,0,1,1
"Nhi, Le",2678.510106678643,30.68214592526308,0,1,1,0,0,1,1
"Derek, Nguyen",2652.0658575385683,49.851374332885,1,0,0,0,0,2,1
"Amanual, Zartman",3777.6251802383035,36.88644903326488,0,0,1,1,1,3,0
"Isaiah, Sago",3008.8776097376326,34.5725054177519,0,0,0,0,0,2,0
"Leeza, Perez",4344.029424345234,41.12914866343031,0,1,1,0,1,1,0
"Rebecca, Montoya",3160.356678607978,38.377182511696176,0,1,0,0,0,2,0
"Dakota, Ortega",4689.664768860961,32.136123692296174,0,0,1,1,0,3,0
"Mayci, Ruiz",4418.1041417065135,22.42294386746903,0,1,1,1,0,2,0
"Manaahil, el-Hammad",3285.5890604047813,46.556820035047096,1,1,1,0,1,1,0
"Mackenzie, Mitchell",3589.517213850559,43.20165180160113,1,1,1,0,1,3,0
"Isidro, Martinez",2704.2424900904925,21.340943805873394,0,0,1,0,1,3,0
"Tahvia, Sauls",3387.488743265963,41.81678744588561,1,1,1,0,1,2,1
"Lizbet, Vialpando",4775.597849625334,56.1646316811829,1,1,1,0,0,3,0
"Kayla, Rash",2458.7580915577523,47.58525859353012,1,1,0,0,0,2,1
"Alicia, Clair",3138.3050288662425,28.29206400483305,1,1,0,0,0,1,1
"Aaron, Engstrom",4502.613849293328,37.060661267631595,0,0,1,0,0,2,0
"Zaid, al-Yousif",3122.221507619746,37.47608475248993,0,0,1,1,0,3,0
"Jacob, Curtis",4096.682666931243,31.82566515005089,0,0,0,0,0,3,0
"Kayla, Herrera",2232.7497986714898,25.34356450712334,1,1,0,0,1,2,1
"Stephanie, Bagein",4679.861072904187,44.23875756572342,0,1,1,0,0,3,0
"Tre'Shon, Lewis",1978.3472472533933,53.91157799068069,1,0,0,0,0,2,1
"Manya, Nguyen",3445.1216164087728,40.13954139147605,1,1,1,1,1,2,1
"Tevin, Brooks",2699.683089586561,19.938502130827636,1,0,0,0,0,1,1
"Austin, Perkins",3780.955542214966,29.775813672822867,0,0,1,0,0,2,0
"Bradley, Grenard",4370.60944403173,22.993693183934614,0,0,1,0,0,0,0
"Waneesa, el-Hatem",2826.8253559601712,33.65322375695838,1,1,0,0,0,1,1
"Mateo, Sabala",3105.9325483805987,27.330746603743926,0,0,0,1,0,1,1
"Waajida, al-Younis",2801.9933656403027,29.788884066907098,1,1,0,0,1,2,1
"Anise, Cantu",2725.670521444109,19.268786067974244,1,1,0,1,0,1,1
"Aubreanna, Moore",2563.861347912085,33.11239535774811,0,1,0,0,0,0,1
"Chantel, Murphy",4012.31871402642,33.20327409664914,0,1,0,0,1,2,0
"Ingrid, Lozoya",3308.878615601834,46.51735080159172,1,1,1,1,0,2,0
"Shilo, Johnson",2850.309772118028,41.96477469466376,1,0,0,0,1,2,1
"Tiana, Croteau",4635.291361955811,42.89065773990033,0,1,1,0,1,2,0
"Jean, Rorn",2792.019533181293,25.70330156758162,0,1,1,0,1,0,1
"Susie, Le",4190.061015509277,41.64249894911143,1,1,0,0,0,1,0
"Mushtaaqa, al-Kaba",2617.2672920964997,30.320574561630778,1,1,1,0,0,0,1
"Jeremy, Rinhart",3506.3509829383806,34.68356408111931,1,0,1,0,0,3,1
"Evan, Jones",3629.380860227841,39.68926267320778,1,0,0,0,0,2,1
"Aubreanna, Clemons",3377.8950428076496,44.982396082854436,0,1,1,0,1,2,0
"Eduardo, Sierra",2067.770837218238,38.118974300196506,0,0,0,0,0,2,1
"Nathan, Howes",4074.512016441122,37.11788850876798,0,0,1,0,0,2,0
"Shakeel, el-Amara",3995.0254133800345,38.337129515885586,0,0,1,0,0,3,0
"Megan, Gonzales",2820.75827722546,25.849166701949343,0,1,0,0,1,2,1
"Maya, Zavala Castro",4050.192077987632,30.846616101381215,0,1,1,0,1,3,0
"Phillip, Verde",1950.2864944059052,44.71609607796897,0,0,0,0,1,2,1
"Yixin, Pablo",3744.082153040886,59.42353732546106,0,1,0,0,1,3,0
"Claudine, Huhman",1665.5931490454211,45.60823862675741,0,1,0,0,0,1,1
"Paris, Langridge",3478.9057548242145,47.57301344900133,1,1,0,1,1,3,0
"Sonny, Razo",3502.4409571173314,41.598371033989075,1,0,0,0,1,1,1
"Tarah, Poudyal",2858.0447442113896,55.9587788177727,0,1,1,0,0,2,0
"Tasja, Duron-Chavez",3501.9675464817046,37.64109843043271,0,1,0,0,0,1,0
"Patrick, Campbell",4966.879145730406,31.63388329540887,0,0,1,1,0,2,0
"Aqeel, al-Hossain",4686.66845746101,35.27988358643554,0,0,0,0,1,2,0
"Eric, Serniak",3389.5285917947213,54.34078261747811,0,0,0,0,0,2,0
"Sierra, Mitchell",3519.245349345306,47.02044551144643,0,1,0,1,0,1,0
"Desirae, Alvarez",3055.719446584348,37.69033949991629,0,1,0,1,0,2,1
"Dakota, Bender",4628.820512935179,38.10368129869001,0,0,1,0,1,1,0
"Badri, al-Malik",3157.448165952808,65.45341216215046,0,0,1,1,1,2,0
"Alex, Bigbey",3398.9220346152465,55.02167958543921,0,0,0,0,0,0,1
"Chloe, Powers",2032.5667098266297,35.114157571585956,0,1,1,1,0,1,1
"Marcos, Cook",3621.974314412888,36.214040882116194,0,0,1,0,1,3,0
"Zabiollah, Atkinson",3672.4027957507633,27.574595096237427,0,0,0,0,1,1,1
"Madaline, Polk",3429.449775498175,45.533378182361226,1,1,0,0,0,2,1
"Brandilyn, Condray",3081.395367370867,59.24668447236634,0,1,0,0,1,2,1
"Jason, Winter-Holm",4190.520841975391,31.39010530838497,1,0,1,0,0,3,0
"Levi, Santistevan",3573.4860211012897,38.02144709148867,1,0,0,0,0,1,1
"Jessica, Black",2555.829322781845,48.51463762282111,1,1,0,0,1,1,1
"Katie, Rudebusch",3466.626426535079,44.377267831410926,1,1,0,0,0,1,1
"Saydie, Perry",4781.950585402893,48.64000167038322,1,1,1,0,1,2,0
"Shalimar, Carter",4116.470235232836,44.73436535999515,1,1,1,0,0,1,0
"Patrick, Manus",3721.0914427777534,44.38939883974414,1,0,1,0,1,2,0
"Jonathan, Eckert",3525.4917880152616,33.00654415585561,0,0,0,0,0,0,0
"Leanna, Chang",4303.846060285583,40.00773451869903,1,1,1,1,1,1,0
"Zaahira, al-Siddique",3171.8877557151704,34.711773483064846,1,1,1,1,0,2,1
"Shaakira, el-Abdi",3196.465318941865,51.13041739326806,0,1,1,0,1,1,0
"Michael, Le",3577.628117763986,46.040071148993995,0,0,1,0,0,2,0
"Edmond, Ngo",3040.1205351983162,54.32401828020672,0,0,0,0,1,0,0
"Benjamin, Clark",4870.7265710758375,26.470308778025817,1,0,1,1,1,3,0
"Hannah, Vasquez",3217.3826939187184,40.23373968245033,1,1,1,0,1,1,1
"Brisa, Gutierrez",3274.873291819542,31.487137988972762,1,1,1,0,0,1,0
"Jesse, Bertsch",4060.1816640842526,43.90510151265669,1,0,0,0,1,2,0
"Woo Tack, Acharya",4951.950141953563,46.21414586309576,0,0,1,0,1,3,0
"Ivan, Wade",2178.315948397897,45.51198440615492,0,0,1,0,1,3,1
"Clarence, Pickett",3446.2025260247165,40.951596759721454,0,0,0,0,0,1,0
"Zachary, Arellano",3678.9174122534414,47.22034203014734,0,0,1,0,0,2,1
"Joane, Martin",2727.815601745917,36.56912000311241,1,1,1,0,0,1,1
"Latesha, Gomen",3486.626466802559,43.37771446181091,1,1,1,0,1,2,1
"Alexia, Padilla",3266.6345950786654,63.408525659330344,1,1,0,1,0,2,0
"Andrew, Gallegos",4629.072835487311,48.636828555782834,0,0,1,0,1,3,0
"Jorge, Watson",4120.123827726216,46.37266839463595,0,0,1,0,0,2,0
"Latisha, Mitchell",3809.206103733614,45.9042537852229,0,1,0,0,1,1,1
"Angela, Martinez",3112.886692266304,52.548763132152,0,1,1,0,0,1,1
"Jalaal, el-Iman",4507.756601408737,28.52277635158224,0,0,1,0,1,2,0
"Hmohngchee, Nguyen",2889.8862432169767,31.344937525949575,0,0,1,0,1,2,0
"Kameel, al-Assaf",3596.0400994899683,47.177432776187544,0,0,1,0,1,1,0
"Elijah, Watkins",4308.2112766483215,35.4736754245287,1,0,1,0,1,2,0
"Najee, Williams",5026.634792027478,48.35971804260834,0,0,1,0,0,1,0
"Ryan, Gill",3297.4400918048495,34.08348470040565,0,0,0,0,1,2,0
"Danna, Cheadle",4041.618967540221,38.997361680920434,0,1,1,0,1,2,1
"Swaysen, Gonzales-Cordova",2246.2752787964278,52.76954646137786,1,1,1,1,0,2,1
"Saara, el-Abu",2359.6389510154067,59.11310137786891,1,1,0,1,0,2,1
"Nikroma, Brown",3116.714557995352,30.494551049303166,0,0,1,0,0,0,0
"Auburn, Owens",2779.800943144651,19.20936573047898,1,1,0,0,1,2,1
"Ashley, Carey",3846.968918349986,19.16465038881065,0,1,1,0,1,1,0
"Maisara, el-Majid",4667.042726158115,18.670599755831063,1,1,1,0,1,1,0
"Karla, Hernandez",3260.0126861041326,24.6624660907179,0,1,1,1,1,2,0
"Cody, Mcqueen",4231.436303065434,48.02292529515552,0,0,0,1,1,2,0
"Stacia, Hughes",4114.565132759713,35.6450379036152,1,1,1,1,1,1,0
"Ashley, Korbel",2941.4453293314864,38.35396251095497,1,1,0,0,1,2,1
"Sulama, el-Javed",4112.352816800174,40.94334089539655,0,1,0,0,0,1,0
"Gabriel, Fonseca",4939.504880287167,22.040857478709537,0,0,0,0,0,0,0
"Sanket, Huynh",4926.279463602577,34.590548464845945,1,0,1,0,0,3,0
"Eduardo, Ramos",3753.242117110509,45.224894981801675,1,0,0,0,1,1,1
"Rachael, Mixon",2638.1867661112033,27.803323720697634,1,1,0,0,1,1,1
"Rishab, Le",4930.343753485074,32.51709528656081,0,0,1,0,1,2,0
"Girish, Meno",3855.1700000798096,26.599232328927894,0,0,0,1,0,1,0
"Shelby, Moore",2189.864067994878,24.35704887070309,0,1,0,0,1,3,1
"Mikayla, Goff",3024.782653696441,32.32943795995705,1,1,0,1,1,3,1
"Siraaj, el-Abdulla",4563.154097810533,42.789310140930844,0,0,1,0,0,3,0
"Aaron, Villalobos Herrera",4369.843224692864,47.357095722523006,1,0,0,0,0,3,0
"Matthew, Kimball",3837.1014772248236,36.36448499451668,1,0,1,1,0,2,0
"Mckenna, Ishizuki",3548.735098452963,19.165420801225853,0,1,1,0,1,1,0
"Robert, Yuan",4413.171655563709,40.06478673099717,0,0,1,0,1,2,0
"Jaimin, Marlow",4758.643147565901,26.989157417384078,0,0,0,1,0,2,0
"Katie, Ryno",4728.918949246371,45.82712073711759,0,1,0,0,1,2,0
"Joshua, Marple",4576.469128914928,41.78926846974534,0,0,1,1,1,0,0
"Gary, Martinez",3099.5080072473684,40.62192144356608,0,0,0,0,0,1,0
"Savannah, Suchomel",4838.292578402048,60.24240315046069,0,1,0,1,1,2,0
"Kimberley, Weaver",2968.4171903210467,45.266341251377504,1,1,0,1,1,2,1
"Yu Sung, Banchongchith",4075.1511360779186,43.19057595531613,0,0,1,0,0,1,0
"Tarquin, Deere",3714.6018534425048,41.567064724421726,0,0,0,1,0,2,0
"Alfredo, Martinez",2758.2236144945023,24.539190472877845,1,0,0,0,1,1,1
"Anisha, Billingsley",4753.779588087882,52.679561999384475,1,1,1,0,1,3,0
"Ana, Banh",4611.62041257057,32.44903156391834,0,1,0,0,1,0,0
"Bo, Lapitan",4917.295694679173,36.69397300125484,0,0,1,0,0,1,0
"Jalen, Taylor",5031.491297725581,40.184185078700864,1,0,1,0,0,2,0
"Shaamil, el-Salih",3315.311427717751,35.76830722623744,1,0,1,0,1,2,0
"Eric, Muniz",3763.163704290725,54.530658879311964,1,0,1,1,0,3,0
"Eric, Gutierrez-Cardona",3319.6268705969633,33.983551784481165,0,0,1,0,1,2,0
"Christopher, Aguilera",4527.452336490338,28.018178324884566,1,0,1,0,0,2,0
"Isaiah, Pham",4763.033508898625,28.864216515014455,1,0,1,0,0,2,0
"Meghna, Kalaga",3037.417331128655,33.882812885335596,1,1,1,0,0,0,1
"Levi, Shepherd",3437.7448966635184,47.4006436415868,1,0,1,0,1,1,0
"Julius, Gilbert",4549.543681440737,36.6575385080424,0,0,1,0,1,2,0
"Savannah, Cruz",2178.628272620357,18.399024307727814,1,1,0,0,1,2,1
"Taya, Pyles",4486.770328615574,65.23214436306185,0,1,0,0,1,2,0
"Tameem, el-Sabir",3792.7308146751557,47.33153973762764,1,0,1,1,0,3,0
"Changyu, Peckham",3236.5916949475495,44.96348491081763,1,1,1,0,1,1,0
"Benton, Haskan",3391.589722712871,48.94112802480147,1,0,0,0,1,3,1
"Misbaah, al-Kamali",4375.105325114688,31.704034951685657,1,1,0,0,1,2,1
"D'Andre, Craion",4698.679414443424,36.647149459356314,0,0,1,0,0,2,0
"Nicholas, Valdez",3320.8018013296432,47.58834322028468,1,0,0,0,1,3,0
"Jordan, Dural",5338.013619817936,33.59011732504776,0,1,0,0,1,2,0
"Zack, Viliborghi",4655.992690489748,49.11128174038226,0,0,1,1,1,3,0
"Serena, Keen",2682.4896362912746,33.53027419133566,1,1,0,1,1,3,1
"Dominic, Marfil",3205.3314843799117,36.457888418077154,1,0,1,1,0,3,0
"Keith, Balogh",2614.5525841065937,26.510947683892958,1,0,0,0,1,2,1
"Michelle, Jimenez",3605.6952673252454,37.41779502559335,0,1,0,0,1,1,0
"Jose, Barron",3759.1324029001617,39.16495947679214,1,0,1,1,1,1,0
"Ghuzaila, al-Shakoor",3114.9107964939726,41.310880284454456,0,1,1,0,0,3,0
"Cameron, Adamic",4707.56812216211,28.715877081418313,1,0,0,0,1,3,0
"Raaniya, el-Halaby",2750.6605950875,41.711956555550074,0,1,0,0,1,2,1
"Yea Eun, Bau",3723.707738926581,42.96861477621182,0,1,0,1,1,1,1
"Denny, Patil",4750.881381655587,50.49404348396114,0,0,1,1,1,3,0
"Johnny, Vang",3870.6595879207025,61.22821820828089,1,0,1,1,0,3,0
"Monaca, Hermanyhorses",4250.517322993183,48.23284251005991,0,1,0,1,1,2,0
"Alexander, Kang",4372.264538274567,20.42076809017649,1,0,1,1,0,3,0
"Zubair, el-Iqbal",3392.9150304413624,48.157274726392004,0,0,0,1,0,3,1
"Bianca, Castilleja",2594.8822064022393,27.063366918087635,0,1,0,0,1,2,1
"Feven, Philipp",2121.729387328556,36.89176683839826,1,1,0,0,0,2,1
"Hadiyya, al-Younan",4946.563398755941,38.57299728775595,1,1,0,0,0,0,0
"Thaaqib, al-Rafiq",3651.1133566295143,45.55061281836921,1,0,0,0,0,1,0
"Savanna, Caramillo",3041.7727500061173,26.665868476599186,0,1,0,0,0,0,1
"Gabriela, Quezada",4200.750204168734,40.859479813275755,1,1,0,0,1,0,1
"Travis, Mccauley",3595.015936056275,23.381531420478254,0,0,0,0,1,1,1
"Alexandria, Bustos Sandoval",2693.4834033246916,50.93106909516759,1,1,0,0,1,2,1
"Jumaana, el-Azizi",2961.819693020378,46.72477224423009,0,1,0,0,0,0,1
"Jose, Delgado Lucio",3954.0277987488416,23.960740943228146,0,0,0,0,0,2,0
